"Scenario","Correct","Timestamp","Datetime","t1_casque","t1_visiere","t1_col","t1_gant_gauche","t1_gant_droit","t2_casque","t2_visiere","t2_veste","t2_col","danger"
"2","1","1626950924",2021-07-22 10:48:44,"1","0","0","1","0",NA,NA,NA,NA,"0"
"2","1","1626950939",2021-07-22 10:48:59,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","1","1626950954",2021-07-22 10:49:14,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","1","1626950970",2021-07-22 10:49:30,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","1","1626950985",2021-07-22 10:49:45,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","1","1626951001",2021-07-22 10:50:01,"0","0","0","0","0",NA,NA,NA,NA,"0"
"2","1","1626951016",2021-07-22 10:50:16,"0","0","0","0","0",NA,NA,NA,NA,"0"
"1","0","1626951112",2021-07-22 10:51:52,"0","0","0","0","0",NA,NA,NA,NA,"0"
"1","0","1626951128",2021-07-22 10:52:08,"1","0","0","0","0",NA,NA,NA,NA,"0"
"1","0","1626951143",2021-07-22 10:52:23,"1","0","0","0","0",NA,NA,NA,NA,"0"
"1","0","1626951158",2021-07-22 10:52:38,"1","0","0","0","0",NA,NA,NA,NA,"0"
"1","0","1626951174",2021-07-22 10:52:54,"1","0","0","0","0",NA,NA,NA,NA,"0"
"1","0","1626951189",2021-07-22 10:53:09,"1","0","0","0","0",NA,NA,NA,NA,"0"
"1","0","1626951205",2021-07-22 10:53:25,"1","0","0","0","0",NA,NA,NA,NA,"0"
"1","0","1626951220",2021-07-22 10:53:40,"1","0","0","0","0",NA,NA,NA,NA,"0"
"1","0","1626951235",2021-07-22 10:53:55,"1","0","0","0","0",NA,NA,NA,NA,"0"
"1","0","1626951251",2021-07-22 10:54:11,"1","0","0","0","0",NA,NA,NA,NA,"0"
"1","0","1626951266",2021-07-22 10:54:26,"1","0","0","0","0",NA,NA,NA,NA,"0"
"1","0","1626951281",2021-07-22 10:54:41,"1","0","0","0","0",NA,NA,NA,NA,"0"
"1","0","1626951297",2021-07-22 10:54:57,"1","0","0","1","1",NA,NA,NA,NA,"0"
"1","0","1626951312",2021-07-22 10:55:12,"1","0","0","1","0",NA,NA,NA,NA,"1"
"1","0","1626951328",2021-07-22 10:55:28,"1","0","0","1","1",NA,NA,NA,NA,"1"
"1","0","1626951343",2021-07-22 10:55:43,"1","0","0","1","1",NA,NA,NA,NA,"1"
"1","0","1626951358",2021-07-22 10:55:58,"1","0","0","1","1",NA,NA,NA,NA,"1"
"1","0","1626951374",2021-07-22 10:56:14,"1","0","0","1","1",NA,NA,NA,NA,"1"
"1","0","1626951389",2021-07-22 10:56:29,"1","1","0","1","1",NA,NA,NA,NA,"1"
"1","0","1626951404",2021-07-22 10:56:44,"1","0","0","1","1",NA,NA,NA,NA,"1"
"1","0","1626951420",2021-07-22 10:57:00,"1","0","0","1","1",NA,NA,NA,NA,"1"
"1","0","1626951435",2021-07-22 10:57:15,"1","0","0","1","1",NA,NA,NA,NA,"1"
"1","0","1626951451",2021-07-22 10:57:31,"1","1","0","1","0",NA,NA,NA,NA,"1"
"1","0","1626951466",2021-07-22 10:57:46,"1","0","0","0","0",NA,NA,NA,NA,"0"
"1","0","1626951481",2021-07-22 10:58:01,"1","0","0","0","0",NA,NA,NA,NA,"0"
"1","0","1626951497",2021-07-22 10:58:17,"1","0","0","0","0",NA,NA,NA,NA,"0"
"1","0","1626951512",2021-07-22 10:58:32,"1","0","0","0","0",NA,NA,NA,NA,"0"
"1","0","1626951528",2021-07-22 10:58:48,"0","0","0","0","0",NA,NA,NA,NA,"0"
"1","0","1626951543",2021-07-22 10:59:03,"0","0","0","0","0",NA,NA,NA,NA,"0"
"1","0","1626951558",2021-07-22 10:59:18,"0","0","0","0","0",NA,NA,NA,NA,"0"
"1","0","1626951574",2021-07-22 10:59:34,"0","0","0","0","0",NA,NA,NA,NA,"0"
"2","0","1626951594",2021-07-22 10:59:54,"0","0","0","0","0",NA,NA,NA,NA,"0"
"2","0","1626951610",2021-07-22 11:00:10,"0","0","0","0","0",NA,NA,NA,NA,"0"
"2","0","1626951625",2021-07-22 11:00:25,"0","0","0","0","0",NA,NA,NA,NA,"0"
"2","0","1626951640",2021-07-22 11:00:40,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","0","1626951656",2021-07-22 11:00:56,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","0","1626951671",2021-07-22 11:01:11,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","0","1626951687",2021-07-22 11:01:27,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","0","1626951702",2021-07-22 11:01:42,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","0","1626951717",2021-07-22 11:01:57,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","0","1626951733",2021-07-22 11:02:13,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","0","1626951748",2021-07-22 11:02:28,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","0","1626951764",2021-07-22 11:02:44,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","0","1626951779",2021-07-22 11:02:59,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","0","1626951794",2021-07-22 11:03:14,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","0","1626951810",2021-07-22 11:03:30,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","0","1626951825",2021-07-22 11:03:45,"1","0","0","1","1",NA,NA,NA,NA,"1"
"2","0","1626951840",2021-07-22 11:04:00,"1","1","0","1","1",NA,NA,NA,NA,"1"
"2","0","1626951856",2021-07-22 11:04:16,"1","1","0","1","1",NA,NA,NA,NA,"1"
"2","0","1626951871",2021-07-22 11:04:31,"1","0","0","1","1",NA,NA,NA,NA,"1"
"2","0","1626951887",2021-07-22 11:04:47,"1","0","0","0","0",NA,NA,NA,NA,"1"
"2","0","1626951902",2021-07-22 11:05:02,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","0","1626951917",2021-07-22 11:05:17,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","0","1626951933",2021-07-22 11:05:33,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","0","1626951948",2021-07-22 11:05:48,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","0","1626951964",2021-07-22 11:06:04,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","0","1626951979",2021-07-22 11:06:19,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","0","1626951994",2021-07-22 11:06:34,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","0","1626952010",2021-07-22 11:06:50,"1","0","0","0","0",NA,NA,NA,NA,"0"
"2","0","1626952025",2021-07-22 11:07:05,"0","0","0","0","0",NA,NA,NA,NA,"0"
"2","0","1626952041",2021-07-22 11:07:21,"0","0","0","0","0",NA,NA,NA,NA,"0"
"2","0","1626952056",2021-07-22 11:07:36,"0","0","0","0","0",NA,NA,NA,NA,"0"
